As2000 Simbols Table
#vb4018;Vb4018_TrigrHMITascaCucita;ad On quando una tasca è stata cucita completamente
#vb4021;Vb4021_Piegatore1_ON;Primo piegatore attivato
#vb4022;Vb4022_Piegatore2_ON;Secondo piegatore attivato
#vb4023;Vb4023_Piegatore3_ON;Terzo piegatore attivato
#vb4024;Vb4024_Piegatore4_ON;Quarto piegatore attivato
#vb4025;Vb4025_Piegatore1_OFF;Primo piegatore disattivato
#vb4026;Vb4026_Piegatore2_OFF;Secondo piegatore disattivato
#vb4027;Vb4027_Piegatore3_OFF;Terzo piegatore disattivato
#vb4028;Vb4028_Piegatore4_OFF;Quarto piegatore disattivato
#vb4031;Vb4031_AppScaricatoreInPos;dopo un tempo che la valvola Scaric_dx_sx è a ON
#vb4032;Vb4032_AppScaricatoreStrBarre;avvio le barre insieme alla pinza alta
#vb4033;Vb4033_RitardoAvanzataCaricatore;finchè è ad 1 il caricatore non può avanzare (ritardo dopo la barra2 on)
#vb4034;Vb4034_ScaricOnSuRasafilo;se On la prima barra parte sul rasafilo finale, se off dopo che le pinze solo alte
#vb4035;Vb4035_Sync_scartafilo;Nell'udf G275 alza vb4035 e quando la rimetto a false la cucitura riparte (G283.0 fermata temporanea)
#vb4036;Vb4036_Enable_Sync_scartafilo;HMI abilita il ciclo scartafilo sincronizzato con udf
#vb4038;Vb4038_Scatena_scartafilo;Scatena macchine a stati scartafilo
#vb4042;Vb4042_SyncSplit1;
#vb4043;Vb4043_SyncSplit2;
#vb4045;Vb4045_C1_AxXFermo;Flag segnalazione asse  fermo
#vb4046;Vb4046_C1_AxYFermo;Flag segnalazione asse  fermo
#vb4047;Vb4047_C1_AxAgoFermo;Flag segnalazione asse  fermo
#vb4048;Vb4048_C1_AxCroFermo;Flag segnalazione asse  fermo
#vb4049;Vb4049_C1_AsseCARFermo;Flag segnalazione asse  fermo
#vb4050;Vb4050_C2_AxXFermo;Flag segnalazione asse  fermo
#vb4051;Vb4051_C2_AxYFermo;Flag segnalazione asse  fermo
#vb4052;Vb4052_C2_AxAgoFermo;Flag segnalazione asse  fermo
#vb4053;Vb4053_C2_AxCroFermo;Flag segnalazione asse  fermo
#vb4054;Vb4054_C2_AsseCARFermo;Flag segnalazione asse  fermo
#vb4058;Vb4058_C1_AsseX_YFermo;Flag segnalazione asse  fermo
#vb4059;Vb4059_C2_AsseX_YFermo;Flag segnalazione asse  fermo
#vb4060;Vb4060_HMISaveUdfFile;hmi salva udf
#vb4061;Vb4061_AppTensAumentaTesta1;hmi tasto aumenta tensione testa 1
#vb4062;Vb4062_AppTensDiminuisceTesta1;hmi tasto diminuisce tensione testa 1
#vb4063;Vb4063_AppTensAumentaTesta2;hmi tasto aumenta tensione testa 2
#vb4064;Vb4064_AppTensDiminuisceTesta2;hmi tasto diminuisce tensione testa 2
#vb4065;Vb4065_AppTensAumentaSotto;hmi tasto aumenta tensione piegatore sopra
#vb4066;Vb4066_AppTensDiminuisceSotto;hmi tasto diminuisce tensione piegatore sopra
#vb4067;Vb4067_AppTensAumentaSopra;hmi tasto aumenta tensione piegatore sotto
#vb4068;Vb4068_AppTensDiminuisceSopra;hmi tasto diminuisce tensione piegatore sotto
#vb4069;Vb4069_AppTensOnSopra;hmi tasto attiva tensione piegatore sopra
#vb4070;Vb4070_AppTensOnSotto;hmi tasto attiva tensione piegatore sotto
#vb4071;Vb4071_AbilitaContSpolaC1;/// HMI utilizzato per abilitare il conteggio della spola C1 ( OFF funziona )
#vb4072;Vb4072_AllarmeContSpolaC1;/// HMI utilizzato per abilitare il conteggio della spola C1 ( OFF funziona )
#vb4073;Vb4073_AbilitaContSpolaC2;/// HMI utilizzato per abilitare il conteggio della spola C2 ( OFF funziona )
#vb4074;Vb4074_AllarmeContSpolaC2;/// HMI utilizzato per abilitare il conteggio della spola C2 ( OFF funziona )
#vb4075;Vb4075_GiraAgoFaiSpolaC1;/// HMI utilizzato per far girare la testa C1 per fare la spola
#vb4076;Vb4076_GiraAgoFaiSpolaC2;/// HMI utilizzato per far girare la testa C2 per fare la spola
#vb4077;Vb4077_IRQPiegatore_Su;/// abilitare  IRQ per leggere il sensore piegatore su
#vb4078;Vb4078_TestHomeC1;/// HMI utilizzato per centrare i sensori di zero su dima cucitrice 1
#vb4079;Vb4079_TestHomeC2;/// HMI utilizzato per centrare i sensori di zero su dima cucitrice 2
#vb4080;Vb4080_TestFcZeroC1;/// HMI utilizzato per centrare i sensori di zero su dima cucitrice 1
#vb4081;Vb4081_TestCaricatorePinzaC1;/// HMI utilizzato per centrare la pinza del caricatore sulla pinza cucitrice
#vb4082;Vb4082_TestCaricatoreLanciaC1;/// HMI utilizzato per centrare la pinza del caricatore sulla lancia
#vb4083;Vb4083_TestCaricatoreC2CaricoC1;/// HMI utilizzato per centrare la pinza del caricatore C2 carico su C1
#vb4084;Vb4084_TestCaricatoreC2ScaricoC2;/// HMI utilizzato per centrare la pinza del caricatore C2 culla pinza C2
#vb4085;Vb4085_TestFcZeroC2;/// HMI utilizzato per centrare i sensori di zero su dima cucitrice 2
#vb4086;Vb4086_SavePosizioni;/// HMI in base al test scelto salva i punti
#vb4087;Vb4087_TestLiberaPinzaCaricatore;/// HMI utilizzato per gestire l'anticipo tra pinza caricatore e C1
#vb4088;Vb4088_TestDisableRiposizionaAgo;/// HMI utilizzato per non riposizionare l'ago al punto ago alto
#vb4089;Vb4089_TestDisableRiposizionaAgoC2;/// HMI utilizzato per non riposizionare l'ago al punto ago alto
#vb4090;Vb4090_EnableRotturaFiloC1;/// HMI utilizzato per abilitare la rottura filo C1 ( OFF funziona )
#vb4091;Vb4091_EnableRotturaFiloC2;/// HMI utilizzato per abilitare la rottura filo C2 ( OFF funziona )
#vb4092;Vb4092_EnbCountRotturaFiloC1;/// HMI utilizzato per abilitare  abilitare il conteggio della rottura filo C1
#vb4093;Vb4093_EnbCountRotturaFiloC2;/// HMI utilizzato per abilitare  abilitare il conteggio della rottura filo C2
#vb4094;Vb4094_EnbScartafiloC1;/// HMI utilizzato per abilitare scartafilo C1
#vb4095;Vb4095_EnbScartafiloC2;/// HMI utilizzato per abilitare scartafilo C2
#vb4096;Vb4096_AppOnScartafiloC1;/// utilizzato da cn per abilitare scartafilo C1
#vb4097;Vb4097_AppOnScartafiloC2;/// utilizzato da cn per abilitare scartafilo C2
#vb4098;Vb4098_OnSeqScartafiloC1;/// utilizzato da plc per abilitare scartafilo C1
#vb4099;Vb4099_OnSeqScartafiloC2;/// utilizzato da plc per abilitare scartafilo C2
#vb4100;Vb4100_;
#vb4133;Vb4133_AppMan_out_Piegatore_1;
#vb4134;Vb4134_AppMan_out_Piegatore_2;
#vb4135;Vb4135_AppMan_out_Piegatore_3;
#vb4136;Vb4136_AppMan_out_Piegatore_4;
#vb4137;Vb4137_AppMan_out_Cambio_corpo;
#vb4138;Vb4138_AppMan_out_Cambio_lama_front;
#vb4139;Vb4139_AppMan_out_Cambio_lame_lateral;
#vb4140;Vb4140_AppMan_out_Cambio_Lamelle_4_5;
#vb4141;Vb4141_AppMan_out_Lancia_AD;
#vb4142;Vb4142_AppMan_out_Piegatore_AD;
#vb4143;Vb4143_AppMan_out_Piegatore_Su_Giu;
#vb4144;Vb4144_AppMan_out_Bilanciere_Su_Giu;
#vb4145;Vb4145_AppMan_out_Lancia_Cargo_Aperta;
#vb4146;Vb4146_AppMan_out_C1_rasafilo;
#vb4147;Vb4147_AppMan_out_EvAspiratore;
#vb4148;Vb4148_AppMan_out_Lancia_Cargo_Chiusa;
#vb4149;Vb4149_AppMan_out_C1_Piedino;
#vb4150;Vb4150_AppMan_out_C1_Pinza_int;
#vb4151;Vb4151_AppMan_out_C1_Pinza_est;
#vb4152;Vb4152_AppMan_out_C1_Retrattile_AC;
#vb4153;Vb4153_AppMan_out_C1_RaffreddamentoAgo;
#vb4154;Vb4154_22;
#vb4155;Vb4155_AppMan_out_Lentezza_Tasca_AD;
#vb4156;Vb4156_AppMan_out_Pinza_carico_Su_Giu;
#vb4157;Vb4157_AppMan_out_C1_Cambio_Pinze;
#vb4158;Vb4158_AppMan_out_C1_Scalino_Piedino;
#vb4159;Vb4159_AppMan_out_C1_Ranocchia_retrat;
#vb4160;Vb4160_AppMan_out_Rullo_Rinforzo;
#vb4161;Vb4161_AppMan_out_Coltello_Rinforzo;
#vb4162;Vb4162_AppMan_out_MagneteSuGiu_Rinforzo;
#vb4163;Vb4163_AppMan_out_C1_bloccaFiloMagente;
#vb4164;Vb4164_AppMan_out_Enable_AssiXY_C1;
#vb4165;Vb4165_AppMan_out_Valvolone;
#vb4166;Vb4166_AppMan_out_CarPat_FrontBack;
#vb4167;Vb4167_AppMan_out_CarPat_Aghi;
#vb4168;Vb4168_AppMan_out_CarPat_SoffioAghi;
#vb4169;Vb4169_AppMan_out_CarPat_SoffiPattina;
#vb4170;Vb4170_AppMan_out_CarPat_DCGiu;
#vb4171;Vb4171_AppMan_out_CarPat_DCSu;
#vb4172;Vb4172_o40;
#vb4173;Vb4173_AppMan_out_CarPat_SpostLamLungo;
#vb4174;Vb4174_AppMan_out_CarPat_SpostLamCorto;
#vb4175;Vb4175_AppMan_out_CarPat_SoffioSuPiano;
#vb4176;Vb4176_o44;
#vb4177;Vb4177_o45;
#vb4178;Vb4178_AppMan_out_C2_rasafilo;
#vb4179;Vb4179_o47;
#vb4180;Vb4180_AppMano_out_Enable_AssiXY_C2;
#vb4181;Vb4181_AppMan_out_C2_Piedino;
#vb4182;Vb4182_AppMan_out_C2_Pinza_int;
#vb4183;Vb4183_AppMan_out_PinzaPattina_1;
#vb4184;Vb4184_AppMan_out_PinzaPattina_2;
#vb4185;Vb4185_AppMan_out_C2_RaffreddamentoAgo;
#vb4186;Vb4186_AppMan_out_Scaric_dx_sx;
#vb4187;Vb4187_o55;
#vb4188;Vb4188_AppMan_out_Piza_tras_su_giu;
#vb4189;Vb4189_AppMan_out_C2_Cambio_Pinze;
#vb4190;Vb4190_AppMan_out_C2_Scalino_Piedino;
#vb4191;Vb4191_o59;
#vb4192;Vb4192_AppMan_out_Prima_barra;
#vb4193;Vb4193_AppMan_out_Seconda_barra;
#vb4194;Vb4194_o62;
#vb4195;Vb4195_AppMan_out_C2_bloccaFiloMagente;
#vb4196;Vb4196_o64;
#vb4208;Vb4208_AppMagneteTensione;
#vb4209;Vb4209_AppMagneteTensioneT2;
#vb4210;Vb4210_AppMagneteSopraPiegatore;
#vb4211;Vb4211_AppMagneteSottoPiegatore;
#vb4333;Vb4333_AppAut_out_Piegatore_1;
#vb4334;Vb4334_AppAut_out_Piegatore_2;
#vb4335;Vb4335_AppAut_out_Piegatore_3;
#vb4336;Vb4336_AppAut_out_Piegatore_4;
#vb4337;Vb4337_AppAut_out_Cambio_corpo;
#vb4338;Vb4338_AppAut_out_Cambio_lama_front;
#vb4339;Vb4339_AppAut_out_Cambio_lame_lateral;
#vb4340;Vb4340_AppAut_out_Cambio_Lamelle_4_5;
#vb4341;Vb4341_AppAut_out_Lancia_AD;
#vb4342;Vb4342_AppAut_out_Piegatore_AD;
#vb4343;Vb4343_AppAut_out_Piegatore_Su_Giu;
#vb4344;Vb4344_AppAut_out_Bilanciere_Su_Giu;
#vb4345;Vb4345_AppAut_out_Lancia_Cargo_Aperta;
#vb4346;Vb4346_AppAut_out_C1_rasafilo;
#vb4347;Vb4347_AppAut_out_EvAspiratore;
#vb4348;Vb4348_AppAut_out_Lancia_Cargo_Chiusa;
#vb4349;Vb4349_AppAut_out_C1_Piedino;
#vb4350;Vb4350_AppAut_out_C1_Pinza_int;
#vb4351;Vb4351_AppAut_out_C1_Pinza_est;
#vb4352;Vb4352_AppAut_out_C1_Retrattile_AC;
#vb4353;Vb4353_AppAut_out_C1_RaffreddamentoAgo;
#vb4354;Vb4354_o22;
#vb4355;Vb4355_AppAut_out_Lentezza_Tasca_AD;
#vb4356;Vb4356_AppAut_out_Pinza_carico_Su_Giu;
#vb4357;Vb4357_AppAut_out_C1_Cambio_Pinze;
#vb4358;Vb4358_AppAut_out_C1_Scalino_Piedino;
#vb4359;Vb4359_AppAut_out_C1_Ranocchia_retrat;
#vb4360;Vb4360_AppAut_out_Rullo_Rinforzo;
#vb4361;Vb4361_AppAut_out_Coltello_Rinforzo;
#vb4362;Vb4362_AppAut_out_MagneteSuGiu_Rinforzo;
#vb4363;Vb4363_AppAut_out_C1_bloccaFiloMagente;
#vb4364;Vb4364_AppAut_out_Enable_AssiXY_C1;
#vb4365;Vb4365_AppAut_out_Valvolone;
#vb4366;Vb4366_AppAut_out_CarPat_FrontBack;
#vb4367;Vb4367_AppAut_out_CarPat_Aghi;
#vb4368;Vb4368_AppAut_out_CarPat_SoffioAghi;
#vb4369;Vb4369_AppAut_out_CarPat_SoffiPattina;
#vb4370;Vb4370_AppAut_out_CarPat_DCGiu;
#vb4371;Vb4371_AppAut_out_CarPat_DCSu;
#vb4372;Vb4372_o40;
#vb4373;Vb4373_AppAut_out_CarPat_SpostLamLungo;
#vb4374;Vb4374_AppAut_out_CarPat_SpostLamCorto;
#vb4375;Vb4375_AppAut_out_CarPat_SoffioSuPiano;
#vb4376;Vb4376_o44;
#vb4377;Vb4377_o45;
#vb4378;Vb4378_AppAut_out_C2_rasafilo;
#vb4379;Vb4379_o47;
#vb4380;Vb4380_AppAuto_out_Enable_AssiXY_C2;
#vb4381;Vb4381_AppAut_out_C2_Piedino;
#vb4382;Vb4382_AppAut_out_C2_Pinza_int;
#vb4383;Vb4383_AppAut_out_PinzaPattina_1;
#vb4384;Vb4384_AppAut_out_PinzaPattina_2;
#vb4385;Vb4385_AppAut_out_C2_RaffreddamentoAgo;
